,mean_val_score,std_val_score,rank_val_score,model__class_weight,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
0,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,1,100
1,0.8105263157894737,0.391884430926027,141,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,1,400
2,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,3,100
3,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,3,400
4,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,5,100
5,0.8105263157894737,0.391884430926027,141,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,4.0,sqrt,5,400
6,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,1,100
7,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,1,400
8,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,3,100
9,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,3,400
10,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,5,100
11,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,8.0,sqrt,5,400
12,0.8631578947368421,0.34368058352241065,9,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,1,100
13,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,1,400
14,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,3,100
15,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,3,400
16,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,5,100
17,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,16.0,sqrt,5,400
18,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,1,100
19,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,1,400
20,0.8631578947368421,0.34368058352241065,9,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,3,100
21,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,3,400
22,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,5,100
23,0.8105263157894737,0.3918844309260269,141,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,24.0,sqrt,5,400
24,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,1,100
25,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,1,400
26,0.8736842105263158,0.3322049229065159,4,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,3,100
27,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,3,400
28,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,5,100
29,0.7894736842105263,0.4076824574955175,168,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",gini,,sqrt,5,400
30,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,1,100
31,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,1,400
32,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,3,100
33,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,3,400
34,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,5,100
35,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,4.0,sqrt,5,400
36,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,1,100
37,0.8210526315789474,0.3833082411796447,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,1,400
38,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,3,100
39,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,3,400
40,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,5,100
41,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,8.0,sqrt,5,400
42,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,1,100
43,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,1,400
44,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,3,100
45,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,3,400
46,0.8,0.4,152,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,5,100
47,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,16.0,sqrt,5,400
48,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,1,100
49,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,1,400
50,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,3,100
51,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,3,400
52,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,5,100
53,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,24.0,sqrt,5,400
54,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,1,100
55,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,1,400
56,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,3,100
57,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,3,400
58,0.8421052631578947,0.3646422752776584,43,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,5,100
59,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 1, 'below_than_avg': 1}",gini,,sqrt,5,400
60,0.7789473684210526,0.41495585988267425,176,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,4.0,sqrt,1,100
61,0.7684210526315789,0.42184136651608156,188,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,4.0,sqrt,1,400
62,0.7578947368421053,0.4283576831447538,196,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,4.0,sqrt,3,100
63,0.7578947368421053,0.4283576831447538,196,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,4.0,sqrt,3,400
64,0.7578947368421053,0.4283576831447538,196,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,4.0,sqrt,5,100
65,0.7894736842105263,0.4076824574955175,168,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,4.0,sqrt,5,400
66,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,8.0,sqrt,1,100
67,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,8.0,sqrt,1,400
68,0.8105263157894737,0.391884430926027,141,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,8.0,sqrt,3,100
69,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,8.0,sqrt,3,400
70,0.7894736842105263,0.4076824574955175,168,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,8.0,sqrt,5,100
71,0.8,0.4,152,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,8.0,sqrt,5,400
72,0.8631578947368421,0.34368058352241065,9,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,16.0,sqrt,1,100
73,0.8526315789473684,0.35447280506279455,25,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,16.0,sqrt,1,400
74,0.8210526315789474,0.38330824117964474,114,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,16.0,sqrt,3,100
75,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,16.0,sqrt,3,400
76,0.7789473684210526,0.41495585988267425,176,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,16.0,sqrt,5,100
77,0.7894736842105263,0.4076824574955175,168,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,16.0,sqrt,5,400
78,0.8631578947368421,0.34368058352241065,9,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,24.0,sqrt,1,100
79,0.8631578947368421,0.34368058352241065,9,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,24.0,sqrt,1,400
80,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,24.0,sqrt,3,100
81,0.8315789473684211,0.37423976493960376,74,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",gini,24.0,sqrt,3,400
